dauReal_daumau,mauReal_daumau,predictionLoss_desinstalacoes,newinstalls_installs,ratings_ratings_reviews,daily_ratings_ratings_reviews,reviews_ratings_reviews,daily_reviews_ratings_reviews,category_BUSINESS,category_FINANCE,category_FOOD_AND_DRINK,category_OTHERS,category_SHOPPING,category_TRAVEL_AND_LOCAL
52243.0,435810.0,4575.0,1582.0,74356.0,22.0,24360.0,10.0,True,False,False,False,False,False
7312.0,98648.0,1786.0,70.0,804.0,0.0,562.0,3.0,False,True,False,False,False,False
399307.0,2084539.0,4392.0,2623.0,88725.0,8.0,38568.0,6.0,False,True,False,False,False,False
77592.0,296839.0,1818.0,718.0,63500.0,5.0,25251.0,0.0,False,False,False,True,False,False
4954347.0,19039746.0,45759.0,13830.0,3499378.0,766.0,952285.0,171.0,False,True,False,False,False,False
3801.0,51600.0,5082.0,9.0,5206.0,25.0,1217.0,4.0,False,False,False,True,False,False
92263.0,186147.0,10050.0,1678.0,7605.0,1.0,2761.0,1.0,False,False,False,True,False,False
10149.0,23779.0,4884.0,1252.0,15360.0,3.0,4033.0,0.0,False,False,False,True,False,False
12282.0,140912.0,4889.0,243.0,7942.0,12.0,3336.0,2.0,False,False,False,False,False,True
1890.0,36513.0,8190.0,962.0,177380.0,-4.0,40.0,0.0,False,False,True,False,False,False
2808172.0,12119811.0,72342.0,17979.0,2617006.0,927.0,459476.0,166.0,False,True,False,False,False,False
429948.0,2907303.0,35178.0,10719.0,469895.0,953.0,41746.0,145.0,False,False,False,True,False,False
1285812.0,7363566.0,28912.0,10187.0,563914.0,127.0,189503.0,66.0,False,True,False,False,False,False
5677441.0,21334210.0,60707.0,22308.0,6348856.0,699.0,1464398.0,127.0,False,True,False,False,False,False
1629.0,34510.0,1903.0,595.0,2651.0,1.0,1212.0,1.0,False,False,False,False,True,False
448498.0,4183012.0,26888.0,6655.0,523243.0,67.0,101194.0,10.0,False,False,False,False,True,False
5598.0,43743.0,1405.0,164.0,24353.0,6.0,9099.0,0.0,False,True,False,False,False,False
791.0,11325.0,885.0,121.0,377.0,0.0,142.0,0.0,True,False,False,False,False,False
7430.0,145554.0,1929.0,384.0,28771.0,8.0,9143.0,0.0,False,True,False,False,False,False
41532.0,168028.0,681.0,362.0,58438.0,0.0,11151.0,2.0,True,False,False,False,False,False
7542.0,113831.0,1400.0,18.0,10104.0,0.0,4819.0,0.0,False,True,False,False,False,False
5874.0,108522.0,10025.0,26.0,922.0,8.0,376.0,0.0,False,False,False,False,False,True
1263.0,17535.0,1395.0,161.0,12724.0,0.0,5829.0,0.0,False,False,False,True,False,False
4534.0,79498.0,4615.0,449.0,2078.0,0.0,266.0,0.0,False,False,False,False,True,False
2141.0,103561.0,2068.0,520.0,41835.0,7.0,8237.0,2.0,False,False,False,True,False,False
